ability_type_code	ability_type_name
ATTACK	襲撃
ATTACK_REQUEST	襲撃希望
DIVINE	占い
DEADDIVINE	死者占い
GUARD	護衛
WANDERERGUARD	風来護衛
INVESTIGATE	捜査
TRAP	罠設置
BOMB	爆弾設置
COHABIT	同棲
COMMAND	指揮
FRUITSBASKET	フルーツバスケット
COURT	求愛
STALKING	ストーキング
CHEAT	誑かす
LONEATTACK	単独襲撃
SEDUCE	誘惑
BADGERGAME	美人局
WALLPUNCH	壁殴り
INSTIGATE	煽動
RAINBOW	虹塗り
LOUDSPEAK	拡声
SHOUT	叫び
TRANSLATE	翻訳
FORCE_REINCARNATION	強制転生
RUNAWAY	暴走転生
RESUSCITATE	蘇生
NECROMANCE	死霊蘇生
ONMYO_NECROMANCE	降霊
TRANSMERMAID	人魚化
BABAGIVE	ババを渡す
YUBISASHI	指差死
INSURANCE	保険
HUNTING	狩猟
HIDE	隠蔽
LOVESTEAL	恋泥棒
BREAKUP	破局
BEAT	殴打
PERSUADE	説得
INCITE	教唆
WIN	当選
OMNISCIENCE	全知
POWER	戦闘力発揮
DOUKE	道化
PRO	殺し屋化
GUILTY	濡衣
REVOLUTION	革命
CURSE	呪縛
COUNTERCURSE	反呪
HIYASICHUKA	冷やし中華
SAVETHEWORLD	世界を救う
CLOUD	曇天
NAMAASHI	ナマ足
GIVETELEKINESIS	念力付与